 Toyota Camry 2,4i 112;9,8
 Toyota Camry 2,4i 123 ;10,7
 Toyota Camry 3,0i ;11,4
 Toyota Camry 3,0i V6 GX ;11,4
 Toyota Camry 3,5i ;11,6
 Toyota Carina 1,6i 80 ;8,5
 Toyota Carina 1,6i 85 ;10,6
 Toyota Carina 2,0D 54;6,8
 Toyota Carina 2,0TD 61 ;6,7
 Toyota Carina E 2,0i ;9,5
 Toyota Carina GL 1,8i ;8,8
 Toyota Celica 1,8GTS;8
 Toyota Celica 1,8i ;8,4
 Toyota Celica 1,8i (4АКПП) ;9
 Toyota Celica GT 2,0i;9,7
